Pracownik_ID,"Jak często czułeś się wyprowadzony z równowagi, w związku z wdrażanym nowym oprogramowaniem/systemem?","Jak często czułeś się zdenerwowany w związku wdrażanymi rozwiązaniami informatycznymi (np. nowy system, oprogramowanie), które wpływają na obowiązki służbowe?","Jak często miałeś uczucie, że nie ma kontroli nad wprowadzanymi zmianami informatycznymi lub technologicznymi w pracy, powiązanymi z nowymi procedurami i zakresem zadań?","Jak często denerwowałeś się z powodu nowych zadań/zasad w pracy, w związku ze zmianą systemu/programu, na których wdrożenie nie miałeś żadnego wpływu?","Jak często miałeś uczucie, że postawione przed Tobą wymagania, w związku ze zmianami technologicznymi lub informatycznymi, przerastają Cię i że sobie z nimi nie radzisz?","Jak często miałeś uczucie, że Twoje kompetencje lub umiejętności są niewystarczające do obsługi nowych narzędzi IT, wdrożonych w organizacji, w której pracujesz?",Termin ankiety
1,3,3,3,3,4,4,28/04/2025
2,3,2,1,4,3,2,28/04/2025
3,3,4,2,2,2,2,28/04/2025
4,3,2,3,2,2,1,28/04/2025
5,2,4,3,4,3,4,28/04/2025
1,3,3,2,2,3,2,05/05/2025
2,2,4,3,3,2,3,05/05/2025
3,4,3,3,2,3,3,05/05/2025
4,3,3,4,2,4,4,05/05/2025
5,4,2,2,3,4,3,05/05/2025
